Clean_Reviews,Uncleaned_Reviews,Tokenized_Reviews,Subjectivity,Polarity,sentiment
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
quality premium look sexy forgot old bag color sexy well light weight well spacious well overall product,"quality premium look sexy forgot old bags, color sexy well, light weight well spacious well. overall 10 10 product.","['quality', 'premium', 'look', 'sexy', 'forgot', 'old', 'bag', 'color', 'sexy', 'well', 'light', 'weight', 'well', 'spacious', 'well', 'overall', 'product']",0.5800000000000001,0.3,pos
could use month colour come every time use fake product sure,could use 2months…the colour comes every time use …this fake product sure,"['could', 'use', 'month', 'colour', 'come', 'every', 'time', 'use', 'fake', 'product', 'sure']",0.9444444444444444,0.0,pos
handbag look fantastic color awesome easy carry come affordable price extremely good product loved much,handbag looks fantastic color awesome. easy carry comes affordable price . extremely good product. loved much,"['handbag', 'look', 'fantastic', 'color', 'awesome', 'easy', 'carry', 'come', 'affordable', 'price', 'extremely', 'good', 'product', 'loved', 'much']",0.7222222222222223,0.5722222222222223,pos
handbag spacious easy carry strap good quality sturdy color awesome handbag good purchase price range,handbag spacious easy carry strap good quality sturdy. color awesome handbag good purchase price range,"['handbag', 'spacious', 'easy', 'carry', 'strap', 'good', 'quality', 'sturdy', 'color', 'awesome', 'handbag', 'good', 'purchase', 'price', 'range']",0.7583333333333334,0.7083333333333333,pos
loved bag spacious multiple pocket superb quality useful new mom carry baby product water bottle overall like bag,loved bag ...it's spacious multiple pockets.superb quality.very useful new mom's.can carry baby products water bottle.overall like bag👍,"['loved', 'bag', 'spacious', 'multiple', 'pocket', 'superb', 'quality', 'useful', 'new', 'mom', 'carry', 'baby', 'product', 'water', 'bottle', 'overall', 'like', 'bag']",0.37575757575757573,0.356060606060606,pos
totally love bag quality amazing spacious carry basic stuff colour shown pic go,"totally love bag,❤️ , quality amazing, spacious , carry basic stuff, colour shown pic, go","['totally', 'love', 'bag', 'quality', 'amazing', 'spacious', 'carry', 'basic', 'stuff', 'colour', 'shown', 'pic', 'go']",0.5416666666666666,0.3666666666666667,pos
liked,liked,['liked'],0.8,0.6,pos
slightly bigger expected,slightly bigger expected,"['slightly', 'bigger', 'expected']",0.45,-0.05,neg
looking slightly big purse office purpose bag perfect sense color good perfect office casual picnic party spacious good compartment look classy elegant totally worth,"looking slightly big purse office purpose. bag perfect sense. color good, perfect office, casual, picnics, parties. spacious good compartments there. looks classy elegant. totally worth it.","['looking', 'slightly', 'big', 'purse', 'office', 'purpose', 'bag', 'perfect', 'sense', 'color', 'good', 'perfect', 'office', 'casual', 'picnic', 'party', 'spacious', 'good', 'compartment', 'look', 'classy', 'elegant', 'totally', 'worth']",0.6851851851851852,0.4222222222222223,pos
overall bag good however truly disappointed packaging fill ut crumbled paper plastic result recieved permanent bent mark bag,"overall bag good. however, truly disappointed packaging. fill ut crumbled paper plastic. result recieved it, permanent bent marks bag.","['overall', 'bag', 'good', 'however', 'truly', 'disappointed', 'packaging', 'fill', 'ut', 'crumbled', 'paper', 'plastic', 'result', 'recieved', 'permanent', 'bent', 'mark', 'bag']",0.45,-0.01666666666666668,neg
